  9809     KEK-PF   BL9A
 Cu104           22.03.18 20:13 - 22.03.18 20:33 Serial#KEKPF-BL9A_029784
 CuO/BN, 8wt%
 Ring :   2.5 GeV   449.9 mA -  450.0 mA
 Mono :   Si(111)       D=  3.13551 A    Initial angle= 10.76970 deg
 BL9A      Transmission( 2)   Repetition=  1     Points=  726
 Param file : Cu002           energy axis(2)     Block =    7

 Block      Init-Eng  Final-Eng      Step/eV     Time/s       Num
     1        8475.30   8930.30         6.50       1.00        70
     2        8930.30   8945.30         1.00       1.00        15
     3        8945.30   9050.30         0.35       1.00       300
     4        9050.30   9080.30         1.00       1.00        30
     5        9080.30   9480.30         2.50       1.00       160
     6        9480.30  10080.30         6.00       1.00       100
     7       10080.30  10580.30        10.00       1.00        51
 Ortec(-1)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0  7603.300  9349.900
  13.49023  13.49030      1.00   1169939   2321880
  13.47969  13.47980      1.00   1169170   2328660
  13.46918  13.46930      1.00   1176443   2351558
  13.45868  13.45880      1.00   1178496   2363899
  13.44819  13.44820      1.00   1176911   2369235
  13.43773  13.43770      1.00   1173472   2370680
  13.42728  13.42730      1.00   1170509   2372779
  13.41684  13.41690      1.00   1172211   2384797
  13.40642  13.40640      1.00   1080541   2206241
  13.39602  13.39600      1.00   1168497   2393736
  13.38564  13.38570      1.00   1169321   2403848
  13.37527  13.37530      1.00   1166738   2406892
  13.36491  13.36500      1.00   1161623   2404653
  13.35458  13.35470      1.00   1150468   2390177
  13.34426  13.34430      1.00   1154541   2406780
  13.33395  13.33390      1.00   1160798   2427461
  13.32366  13.32360      1.00   1158498   2431059
  13.31339  13.31350      1.00   1154630   2431186
  13.30313  13.30310      1.00   1151172   2432218
  13.29289  13.29290      1.00   1147784   2433284
  13.28267  13.28280      1.00   1142949   2431034
  13.27246  13.27240      1.00   1123906   2399313
  13.26227  13.26230      1.00   1155615   2474796
  13.25209  13.25210      1.00   1151252   2473835
  13.24193  13.24190      1.00   1146549   2472000
  13.23178  13.23180      1.00   1143951   2474650
  13.22165  13.22170      1.00   1140456   2475260
  13.21154  13.21150      1.00   1139556   2481512
  13.20144  13.20140      1.00   1135720   2481234
  13.19136  13.19140      1.00   1132194   2481738
  13.18129  13.18130      1.00   1087258   2391416
  13.17124  13.17120      1.00   1130738   2494886
  13.16120  13.16120      1.00   1129029   2499232
  13.15118  13.15120      1.00   1128000   2505122
  13.14117  13.14120      1.00   1125179   2506864
  13.13118  13.13120      1.00   1104364   2468778
  13.12121  13.12110      1.00   1120120   2512211
  13.11125  13.11120      1.00   1119793   2519470
  13.10130  13.10120      1.00   1117266   2521687
  13.09137  13.09140      1.00   1115452   2525538
  13.08146  13.08140      1.00   1112596   2527507
  13.07156  13.07160      1.00   1110177   2530107
  13.06168  13.06170      1.00   1107272   2531498
  13.05181  13.05180      1.00   1102583   2528788
  13.04195  13.04190      1.00   1099712   2530306
  13.03211  13.03210      1.00   1097377   2532576
  13.02229  13.02240      1.00   1095402   2535929
  13.01248  13.01240      1.00   1094718   2542339
  13.00269  13.00270      1.00   1093104   2546462
  12.99291  12.99290      1.00   1091655   2550984
  12.98314  12.98320      1.00   1087865   2550071
  12.97339  12.97340      1.00   1085795   2553235
  12.96366  12.96370      1.00   1081597   2551072
  12.95394  12.95390      1.00   1078109   2550567
  12.94423  12.94430      1.00   1074895   2550744
  12.93454  12.93460      1.00   1070569   2548685
  12.92486  12.92480      1.00   1065387   2544321
  12.91520  12.91520      1.00   1061258   2542114
  12.90556  12.90550      1.00   1057676   2541061
  12.89592  12.89590      1.00   1055190   2542637
  12.88631  12.88630      1.00   1055292   2550494
  12.87670  12.87670      1.00   1057541   2563369
  12.86711  12.86710      1.00   1056594   2568473
  12.85754  12.85760      1.00   1052770   2566668
  12.84798  12.84800      1.00   1049184   2565238
  12.83843  12.83860      1.00   1044432   2560841
  12.82890  12.82880      1.00   1038658   2554057
  12.81938  12.81940      1.00   1032678   2546084
  12.80988  12.80980      1.00   1031571   2549952
  12.80039  12.80030      1.00   1014812   2514802
  12.79092  12.79090      1.00   1026796   2550771
  12.78946  12.78960      1.00   1026616   2551013
  12.78800  12.78800      1.00   1024912   2547755
  12.78655  12.78640      1.00   1023640   2545475
  12.78509  12.78510      1.00   1023465   2545830
  12.78364  12.78370      1.00   1024624   2549625
  12.78218  12.78210      1.00   1023847   2548567
  12.78073  12.78070      1.00   1025009   2552209
  12.77927  12.77950      1.00   1023559   2549334
  12.77782  12.77770      1.00   1023097   2549011
  12.77637  12.77630      1.00   1021116   2544632
  12.77491  12.77500      1.00   1020181   2543087
  12.77346  12.77340      1.00   1017725   2537853
  12.77201  12.77190      1.00   1019464   2542874
  12.77056  12.77070      1.00   1019556   2543782
  12.76910  12.76930      1.00   1020145   2545883
  12.76860  12.76850      1.00   1019834   2545576
  12.76809  12.76810      1.00   1020953   2548520
  12.76758  12.76750      1.00   1020211   2546765
  12.76707  12.76700      1.00   1019845   2545955
  12.76656  12.76650      1.00   1020154   2546866
  12.76606  12.76610      1.00   1019889   2546294
  12.76555  12.76560      1.00   1019575   2545747
  12.76504  12.76510      1.00   1019444   2545717
  12.76453  12.76460      1.00   1020103   2547511
  12.76403  12.76390      1.00   1019349   2545849
  12.76352  12.76350      1.00   1019993   2547662
  12.76301  12.76290      1.00   1019595   2546936
  12.76250  12.76250      1.00   1019785   2547534
  12.76200  12.76210      1.00   1019311   2546242
  12.76149  12.76140      1.00   1019630   2547308
  12.76098  12.76100      1.00   1019854   2547989
  12.76047  12.76060      1.00   1019981   2548428
  12.75997  12.75990      1.00   1019593   2547620
  12.75946  12.75950      1.00   1019473   2547433
  12.75895  12.75910      1.00   1019272   2547194
  12.75844  12.75840      1.00   1017790   2543650
  12.75794  12.75780      1.00   1018504   2545548
  12.75743  12.75740      1.00   1018654   2545919
  12.75692  12.75690      1.00   1018908   2546539
  12.75642  12.75640      1.00   1018943   2546751
  12.75591  12.75590      1.00   1019289   2547747
  12.75540  12.75540      1.00   1018522   2545719
  12.75489  12.75500      1.00   1018501   2545630
  12.75439  12.75440      1.00   1019111   2547272
  12.75388  12.75390      1.00   1018491   2545971
  12.75337  12.75320      1.00   1018283   2545378
  12.75287  12.75290      1.00   1017726   2543996
  12.75236  12.75230      1.00   1017675   2544014
  12.75185  12.75190      1.00   1016922   2542175
  12.75135  12.75130      1.00   1018542   2546174
  12.75084  12.75090      1.00   1017804   2544260
  12.75033  12.75040      1.00   1018099   2545080
  12.74983  12.74980      1.00   1017308   2542896
  12.74932  12.74950      1.00   1017618   2543615
  12.74881  12.74870      1.00   1017221   2542548
  12.74831  12.74830      1.00   1017901   2544252
  12.74780  12.74780      1.00   1018361   2545292
  12.74730  12.74720      1.00   1019103   2547061
  12.74679  12.74670      1.00   1018854   2546186
  12.74628  12.74630      1.00   1018639   2545600
  12.74578  12.74580      1.00   1017551   2542786
  12.74527  12.74530      1.00   1018917   2545959
  12.74476  12.74480      1.00   1017811   2542931
  12.74426  12.74440      1.00   1017940   2543007
  12.74375  12.74370      1.00   1017222   2541017
  12.74325  12.74320      1.00   1017254   2540886
  12.74274  12.74260      1.00   1015816   2536982
  12.74223  12.74230      1.00   1014710   2533934
  12.74173  12.74170      1.00   1014549   2533078
  12.74122  12.74130      1.00   1014869   2533600
  12.74072  12.74070      1.00   1014795   2533126
  12.74021  12.74030      1.00   1014499   2531929
  12.73971  12.73980      1.00   1013463   2528700
  12.73920  12.73920      1.00   1013169   2527268
  12.73869  12.73870      1.00   1012875   2525933
  12.73819  12.73810      1.00   1012128   2523555
  12.73768  12.73770      1.00   1012490   2524017
  12.73718  12.73700      1.00   1011681   2521190
  12.73667  12.73670      1.00   1011331   2519878
  12.73617  12.73610      1.00   1010545   2517136
  12.73566  12.73580      1.00   1010604   2516542
  12.73516  12.73520      1.00   1009416   2512492
  12.73465  12.73460      1.00   1008710   2509751
  12.73415  12.73420      1.00   1006975   2504498
  12.73364  12.73360      1.00   1006195   2501282
  12.73314  12.73310      1.00   1005680   2499001
  12.73263  12.73260      1.00   1006867   2500895
  12.73212  12.73210      1.00   1006942   2499696
  12.73162  12.73170      1.00   1007031   2498667
  12.73111  12.73100      1.00   1007474   2497954
  12.73061  12.73070      1.00   1008039   2498126
  12.73010  12.73020      1.00   1006978   2493457
  12.72960  12.72970      1.00   1006590   2490024
  12.72910  12.72910      1.00   1005757   2485340
  12.72859  12.72860      1.00   1006785   2485347
  12.72809  12.72800      1.00   1006614   2481925
  12.72758  12.72750      1.00   1003712   2472149
  12.72708  12.72710      1.00   1003333   2468166
  12.72657  12.72650      1.00   1003935   2465112
  12.72607  12.72610      1.00   1003489   2459406
  12.72556  12.72560      1.00   1004198   2454063
  12.72506  12.72500      1.00   1003549   2443263
  12.72455  12.72460      1.00   1003975   2435495
  12.72405  12.72410      1.00   1003560   2422008
  12.72354  12.72350      1.00   1003036   2409189
  12.72304  12.72300      1.00   1002903   2400994
  12.72254  12.72250      1.00   1004922   2399776
  12.72203  12.72190      1.00   1003919   2392902
  12.72153  12.72160      1.00   1003240   2386882
  12.72102  12.72110      1.00   1003136   2376941
  12.72052  12.72050      1.00   1001136   2356775
  12.72001  12.72010      1.00   1000313   2338777
  12.71951  12.71950      1.00    999817   2311163
  12.71901  12.71910      1.00   1000515   2286380
  12.71850  12.71840      1.00    999706   2245303
  12.71800  12.71810      1.00   1000060   2217454
  12.71749  12.71740      1.00    998528   2157640
  12.71699  12.71690      1.00    998913   2111502
  12.71649  12.71640      1.00    998762   2052566
  12.71598  12.71600      1.00    998736   1984442
  12.71548  12.71550      1.00    998162   1879230
  12.71498  12.71500      1.00    997854   1766480
  12.71447  12.71460      1.00    997941   1647309
  12.71397  12.71390      1.00    996994   1513852
  12.71346  12.71340      1.00    996109   1435962
  12.71296  12.71300      1.00    996058   1376780
  12.71246  12.71240      1.00    995444   1327290
  12.71195  12.71190      1.00    994691   1304768
  12.71145  12.71150      1.00    994386   1294343
  12.71095  12.71100      1.00    993532   1290400
  12.71044  12.71040      1.00    992737   1289241
  12.70994  12.71000      1.00    992934   1285388
  12.70944  12.70950      1.00    991908   1269486
  12.70893  12.70900      1.00    990824   1239739
  12.70843  12.70840      1.00    990344   1195596
  12.70793  12.70780      1.00    989719   1149287
  12.70742  12.70740      1.00    990366   1110931
  12.70692  12.70690      1.00    989776   1059731
  12.70642  12.70640      1.00    990447   1008761
  12.70591  12.70590      1.00    989221    957024
  12.70541  12.70550      1.00    989446    903380
  12.70491  12.70500      1.00    987125    838081
  12.70441  12.70440      1.00    984939    776384
  12.70390  12.70380      1.00    981489    725721
  12.70340  12.70340      1.00    977436    689715
  12.70290  12.70290      1.00    973906    651400
  12.70239  12.70240      1.00    973868    622810
  12.70189  12.70190      1.00    975590    602024
  12.70139  12.70140      1.00    979116    587027
  12.70089  12.70090      1.00    983431    575095
  12.70038  12.70040      1.00    986359    562857
  12.69988  12.70000      1.00    987850    550716
  12.69938  12.69930      1.00    987655    535559
  12.69888  12.69900      1.00    988106    525246
  12.69837  12.69830      1.00    986625    508112
  12.69787  12.69780      1.00    986248    496167
  12.69737  12.69740      1.00    984669    483981
  12.69687  12.69680      1.00    983666    469340
  12.69637  12.69630      1.00    980188    457185
  12.69586  12.69590      1.00    976367    447331
  12.69536  12.69540      1.00    972135    439095
  12.69486  12.69490      1.00    971735    436633
  12.69436  12.69440      1.00    973445    438901
  12.69385  12.69380      1.00    977539    445123
  12.69335  12.69330      1.00    981561    451745
  12.69285  12.69280      1.00    983218    457778
  12.69235  12.69230      1.00    983664    463853
  12.69185  12.69190      1.00    983736    470044
  12.69134  12.69140      1.00    983813    478720
  12.69084  12.69090      1.00    983980    488809
  12.69034  12.69030      1.00    984030    501073
  12.68984  12.68990      1.00    983553    512342
  12.68934  12.68940      1.00    984455    528161
  12.68884  12.68890      1.00    984620    544406
  12.68833  12.68830      1.00    985115    560642
  12.68783  12.68770      1.00    984440    573727
  12.68733  12.68740      1.00    985044    582907
  12.68683  12.68670      1.00    984519    596287
  12.68633  12.68630      1.00    985431    604412
  12.68583  12.68590      1.00    984882    613373
  12.68533  12.68530      1.00    985217    624105
  12.68482  12.68490      1.00    985925    632710
  12.68432  12.68430      1.00    985689    642098
  12.68382  12.68390      1.00    986125    650323
  12.68332  12.68320      1.00    985515    658689
  12.68282  12.68280      1.00    985657    664393
  12.68232  12.68230      1.00    985938    670875
  12.68182  12.68190      1.00    986070    676278
  12.68132  12.68130      1.00    985453    681036
  12.68082  12.68080      1.00    985186    683684
  12.68031  12.68040      1.00    985551    685761
