key	value
@data_info@identifier@pid	KEKPF-BL9A_29784
@data_info@identifier@proposal_number	2021Z000
@data_info@date@create_time	2022-03-18 20:37:29
@data_info@facility	Photon Factory
@data_info@class_name	BL-9A
@data_info@title	N/A
@data_info@title_ja	N/A
@data_info@license@name	CC BY-NC-SA
@data_info@version@data_format	PF9809-MDR-20220401
@data_info@data_origin	experiment
@data_info@data_depositor@name	Photon Factory
@data_info@data_depositor@affiliation@organization	KEK
@data_info@data_depositor@affiliation@sub_organization	Institute of Materials Structure Science
@data_info@contact_name@name	Photon Factory
@data_info@contact_name@organization	KEK
@data_info@contact_name@sub_organization	Institute of Materials Structure Science
@data_info@contact_name@role	organization
@facility@ring@energy	2.5
@facility@ring@energy_unit	GeV
@facility@ring@start_current	449.897
@facility@ring@start_current_unit	mA
@facility@ring@end_current	450.025
@facility@ring@end_current_unit	mA
@sample_0@name	Copper(II) oxide
@sample_0@chemical_formula	CuO
@sample_0@additional_data	diluted with BN, 8wt%
@measurement@method@name	XAFS
@measurement@method@detection	Transmission
@measurement@method@absorption_edge	Cu K
@measurement@date@start_time	2022-03-18 20:13:31
@measurement@date@end_time	2022-03-18 20:33:28
@measurement@scan_mode	Step Scan
@instrument@monochrometor@number	2
@instrument@monochrometor@net_plane	Si(111)
@instrument@monochrometor@distance	3.13551
@instrument@monochrometor@distance_unit	A
@instrument@section_0@start_energy	12.7185
@instrument@section_0@start_energy_unit	deg
@instrument@section_0@step_energy	12.7185
@instrument@section_0@step_energy_unit	deg
@instrument@section_0@end_energy	12.7185
@instrument@section_0@end_energy_unit	deg
@instrument@section_0@dwell_time	1.0
@instrument@section_0@dwell_time_unit	sec
@instrument@section_1@start_energy	12.7185
@instrument@section_1@start_energy_unit	deg
@instrument@section_1@step_energy	12.7185
@instrument@section_1@step_energy_unit	deg
@instrument@section_1@end_energy	12.7185
@instrument@section_1@end_energy_unit	deg
@instrument@section_1@dwell_time	1.0
@instrument@section_1@dwell_time_unit	sec
@instrument@section_2@start_energy	12.7185
@instrument@section_2@start_energy_unit	deg
@instrument@section_2@step_energy	12.7185
@instrument@section_2@step_energy_unit	deg
@instrument@section_2@end_energy	12.7185
@instrument@section_2@end_energy_unit	deg
@instrument@section_2@dwell_time	1.0
@instrument@section_2@dwell_time_unit	sec
@instrument@section_3@start_energy	12.7185
@instrument@section_3@start_energy_unit	deg
@instrument@section_3@step_energy	12.7185
@instrument@section_3@step_energy_unit	deg
@instrument@section_3@end_energy	12.7185
@instrument@section_3@end_energy_unit	deg
@instrument@section_3@dwell_time	1.0
@instrument@section_3@dwell_time_unit	sec
@instrument@section_4@start_energy	12.7185
@instrument@section_4@start_energy_unit	deg
@instrument@section_4@step_energy	12.7185
@instrument@section_4@step_energy_unit	deg
@instrument@section_4@end_energy	12.7185
@instrument@section_4@end_energy_unit	deg
@instrument@section_4@dwell_time	1.0
@instrument@section_4@dwell_time_unit	sec
@instrument@section_5@start_energy	12.7185
@instrument@section_5@start_energy_unit	deg
@instrument@section_5@step_energy	12.7185
@instrument@section_5@step_energy_unit	deg
@instrument@section_5@end_energy	12.7185
@instrument@section_5@end_energy_unit	deg
@instrument@section_5@dwell_time	1.0
@instrument@section_5@dwell_time_unit	sec
@instrument@section_6@start_energy	12.7185
@instrument@section_6@start_energy_unit	deg
@instrument@section_6@step_energy	12.7185
@instrument@section_6@step_energy_unit	deg
@instrument@section_6@end_energy	12.7185
@instrument@section_6@end_energy_unit	deg
@instrument@section_6@dwell_time	1.0
@instrument@section_6@dwell_time_unit	sec
@instrument@xafs@I0@element_0@type	Ionization Chamber
@instrument@xafs@I0@element_number	1
@instrument@xafs@I1@element_0@type	Ionization Chamber
@instrument@xafs@I1@element_number	1
@local@xafs_filename_list_0	Cu104.dat
@local@xafs_filename_list_1	metadata.yml
@local@xafs_filename_list_2	thumbnail.png
