  9809     SPring-8 14b2 
 Ir-L21_IrO2_Si  20.07.15 17:56 - 20.07.15 18:08
 IrO2                                                                            
 Ring :   8.0 GeV    99.6 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 17.83300 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 6554
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       17.64500  14.67000    -0.000460       0.10      6554
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0    55.800    60.800
  17.64454  17.64744     0.100      5294     22512
  17.64408  17.64698     0.100      5273     22442
  17.64362  17.64654     0.100      5284     22474
  17.64316  17.64610     0.100      5286     22487
  17.64270  17.64567     0.100      5287     22488
  17.64224  17.64524     0.100      5277     22448
  17.64178  17.64483     0.100      5256     22378
  17.64132  17.64445     0.100      5274     22445
  17.64086  17.64408     0.100      5265     22425
  17.64040  17.64372     0.100      5270     22440
  17.63994  17.64333     0.100      5274     22452
  17.63948  17.64294     0.100      5256     22391
  17.63902  17.64254     0.100      5268     22440
  17.63856  17.64214     0.100      5250     22366
  17.63810  17.64172     0.100      5264     22424
  17.63764  17.64127     0.100      5257     22388
  17.63718  17.64078     0.100      5255     22400
  17.63672  17.64027     0.100      5267     22455
  17.63626  17.63978     0.100      5259     22420
  17.63580  17.63931     0.100      5269     22474
  17.63534  17.63883     0.100      5246     22366
  17.63488  17.63833     0.100      5250     22384
  17.63442  17.63783     0.100      5259     22430
  17.63396  17.63734     0.100      5249     22390
  17.63350  17.63688     0.100      5255     22415
  17.63304  17.63644     0.100      5245     22392
  17.63258  17.63601     0.100      5248     22396
  17.63212  17.63557     0.100      5244     22384
  17.63166  17.63514     0.100      5246     22393
  17.63120  17.63474     0.100      5258     22431
  17.63074  17.63437     0.100      5236     22350
  17.63028  17.63400     0.100      5239     22369
  17.62982  17.63364     0.100      5244     22391
  17.62936  17.63325     0.100      5242     22406
  17.62890  17.63285     0.100      5244     22402
  17.62844  17.63246     0.100      5233     22360
  17.62798  17.63206     0.100      5218     22299
  17.62752  17.63164     0.100      5220     22312
  17.62706  17.63119     0.100      5224     22331
  17.62660  17.63069     0.100      5220     22313
  17.62614  17.63019     0.100      5215     22308
  17.62568  17.62970     0.100      5231     22369
  17.62522  17.62923     0.100      5234     22385
  17.62476  17.62875     0.100      5230     22380
  17.62430  17.62825     0.100      5226     22359
  17.62384  17.62775     0.100      5220     22341
  17.62338  17.62727     0.100      5225     22359
  17.62292  17.62682     0.100      5219     22335
  17.62246  17.62638     0.100      5222     22341
  17.62200  17.62594     0.100      5215     22317
  17.62154  17.62550     0.100      5204     22269
  17.62108  17.62508     0.100      5216     22325
  17.62062  17.62468     0.100      5213     22328
  17.62016  17.62431     0.100      5207     22304
  17.61970  17.62394     0.100      5203     22285
  17.61924  17.62357     0.100      5200     22278
  17.61878  17.62319     0.100      5210     22323
  17.61832  17.62279     0.100      5205     22306
  17.61786  17.62239     0.100      5205     22310
  17.61740  17.62199     0.100      5201     22293
  17.61694  17.62156     0.100      5197     22274
  17.61648  17.62109     0.100      5208     22340
  17.61602  17.62059     0.100      5200     22283
  17.61556  17.62009     0.100      5219     22377
  17.61510  17.61961     0.100      5186     22241
  17.61464  17.61914     0.100      5200     22307
  17.61418  17.61866     0.100      5209     22357
  17.61372  17.61816     0.100      5192     22283
  17.61326  17.61766     0.100      5197     22308
  17.61280  17.61718     0.100      5196     22297
  17.61234  17.61673     0.100      5201     22326
  17.61188  17.61629     0.100      5197     22311
  17.61142  17.61585     0.100      5181     22254
  17.61096  17.61541     0.100      5198     22319
  17.61050  17.61500     0.100      5184     22278
  17.61004  17.61460     0.100      5189     22287
  17.60958  17.61423     0.100      5202     22344
  17.60912  17.61386     0.100      5192     22301
  17.60866  17.61348     0.100      5197     22331
  17.60820  17.61309     0.100      5173     22255
  17.60774  17.61268     0.100      5181     22274
  17.60728  17.61229     0.100      5199     22354
  17.60682  17.61188     0.100      5163     22201
  17.60636  17.61145     0.100      5191     22337
  17.60590  17.61096     0.100      5159     22205
  17.60544  17.61046     0.100      5181     22302
  17.60498  17.60996     0.100      5178     22273
  17.60452  17.60948     0.100      5166     22228
  17.60406  17.60902     0.100      5195     22347
  17.60360  17.60852     0.100      5151     22180
  17.60314  17.60802     0.100      5176     22283
  17.60268  17.60752     0.100      5148     22168
  17.60222  17.60705     0.100      5149     22174
  17.60176  17.60661     0.100      5165     22257
  17.60130  17.60617     0.100      5144     22158
  17.60084  17.60573     0.100      5179     22306
  17.60038  17.60530     0.100      5159     22244
  17.59992  17.60489     0.100      5148     22208
  17.59946  17.60450     0.100      5166     22276
  17.59900  17.60414     0.100      5151     22201
  17.59854  17.60377     0.100      5165     22293
  17.59808  17.60339     0.100      5144     22176
  17.59762  17.60299     0.100      5144     22188
  17.59716  17.60259     0.100      5149     22217
  17.59670  17.60220     0.100      5136     22158
  17.59624  17.60180     0.100      5153     22245
  17.59578  17.60135     0.100      5144     22218
  17.59532  17.60086     0.100      5155     22273
  17.59486  17.60036     0.100      5157     22259
  17.59440  17.59987     0.100      5140     22200
  17.59394  17.59939     0.100      5152     22263
  17.59348  17.59892     0.100      5134     22184
  17.59302  17.59843     0.100      5148     22231
  17.59256  17.59792     0.100      5135     22198
  17.59210  17.59742     0.100      5129     22167
  17.59164  17.59696     0.100      5141     22235
  17.59118  17.59652     0.100      5123     22167
  17.59072  17.59608     0.100      5145     22260
  17.59026  17.59564     0.100      5125     22183
  17.58980  17.59521     0.100      5138     22247
  17.58934  17.59480     0.100      5143     22267
  17.58888  17.59442     0.100      5125     22188
  17.58842  17.59406     0.100      5148     22281
  17.58796  17.59369     0.100      5130     22222
  17.58750  17.59330     0.100      5125     22196
  17.58704  17.59290     0.100      5121     22190
  17.58658  17.59251     0.100      5116     22171
  17.58612  17.59211     0.100      5132     22233
  17.58566  17.59169     0.100      5119     22185
  17.58520  17.59124     0.100      5124     22194
  17.58474  17.59074     0.100      5113     22173
  17.58428  17.59023     0.100      5127     22232
  17.58382  17.58975     0.100      5127     22230
  17.58336  17.58928     0.100      5110     22166
  17.58290  17.58880     0.100      5130     22250
