  9809     SPring-8 14b2 
 Ir-L3_IrCl4_Si  20.07.15 13:07 - 20.07.15 13:11
 IrCl4                                                                           
 Ring :   8.0 GeV    99.6 mA -   99.6 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 10.59089 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4645
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       10.47000   8.93000    -0.000340       0.05      4645
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0    37.100    81.600
  10.46966  10.47167     0.050     27515      9485
  10.46932  10.47132     0.050     27461      9473
  10.46898  10.47095     0.050     27495      9484
  10.46864  10.47057     0.050     27509      9486
  10.46830  10.47020     0.050     27474      9482
  10.46796  10.46985     0.050     27464      9481
  10.46762  10.46951     0.050     27504      9490
  10.46728  10.46918     0.050     27483      9487
  10.46694  10.46885     0.050     27456      9484
  10.46660  10.46852     0.050     27494      9492
  10.46626  10.46819     0.050     27479      9493
  10.46592  10.46787     0.050     27454      9487
  10.46558  10.46756     0.050     27470      9494
  10.46524  10.46727     0.050     27483      9501
  10.46490  10.46699     0.050     27453      9493
  10.46456  10.46672     0.050     27450      9492
  10.46422  10.46645     0.050     27480      9502
  10.46388  10.46618     0.050     27472      9501
  10.46354  10.46590     0.050     27429      9495
  10.46320  10.46561     0.050     27459      9501
  10.46286  10.46531     0.050     27453      9503
  10.46252  10.46502     0.050     27433      9499
  10.46218  10.46473     0.050     27445      9505
  10.46184  10.46442     0.050     27464      9511
  10.46150  10.46411     0.050     27426      9505
  10.46116  10.46377     0.050     27434      9508
  10.46082  10.46340     0.050     27449      9512
  10.46048  10.46302     0.050     27441      9513
  10.46014  10.46264     0.050     27426      9508
  10.45980  10.46228     0.050     27431      9515
  10.45946  10.46193     0.050     27439      9519
  10.45912  10.46158     0.050     27414      9511
  10.45878  10.46122     0.050     27428      9519
  10.45844  10.46084     0.050     27429      9518
  10.45810  10.46046     0.050     27422      9520
  10.45776  10.46010     0.050     27397      9514
  10.45742  10.45975     0.050     27442      9526
  10.45708  10.45941     0.050     27408      9521
  10.45674  10.45908     0.050     27391      9518
  10.45640  10.45875     0.050     27393      9521
  10.45606  10.45842     0.050     27423      9531
  10.45572  10.45810     0.050     27377      9520
  10.45538  10.45778     0.050     27400      9528
  10.45504  10.45747     0.050     27408      9534
  10.45470  10.45718     0.050     27371      9526
  10.45436  10.45691     0.050     27386      9530
  10.45402  10.45664     0.050     27416      9537
  10.45368  10.45637     0.050     27395      9532
  10.45334  10.45609     0.050     27369      9530
  10.45300  10.45581     0.050     27412      9539
  10.45266  10.45551     0.050     27378      9537
  10.45232  10.45522     0.050     27375      9537
  10.45198  10.45493     0.050     27379      9541
  10.45164  10.45463     0.050     27392      9545
  10.45130  10.45433     0.050     27359      9538
  10.45096  10.45400     0.050     27365      9540
  10.45062  10.45365     0.050     27386      9548
  10.45028  10.45328     0.050     27377      9548
  10.44994  10.45291     0.050     27349      9541
  10.44960  10.45254     0.050     27363      9548
  10.44926  10.45218     0.050     27374      9553
  10.44892  10.45183     0.050     27333      9546
  10.44858  10.45148     0.050     27347      9550
  10.44824  10.45112     0.050     27374      9557
  10.44790  10.45074     0.050     27341      9553
  10.44756  10.45036     0.050     27336      9552
  10.44722  10.45000     0.050     27378      9563
  10.44688  10.44965     0.050     27353      9559
  10.44654  10.44932     0.050     27320      9555
  10.44620  10.44899     0.050     27354      9562
  10.44586  10.44866     0.050     27359      9565
  10.44552  10.44834     0.050     27326      9560
  10.44518  10.44801     0.050     27322      9560
  10.44484  10.44769     0.050     27360      9572
  10.44450  10.44739     0.050     27318      9562
  10.44416  10.44711     0.050     27325      9566
  10.44382  10.44684     0.050     27336      9574
  10.44348  10.44657     0.050     27337      9574
  10.44314  10.44630     0.050     27309      9569
  10.44280  10.44601     0.050     27328      9577
  10.44246  10.44572     0.050     27337      9578
  10.44212  10.44543     0.050     27305      9571
  10.44178  10.44514     0.050     27309      9575
  10.44144  10.44484     0.050     27325      9580
  10.44110  10.44455     0.050     27317      9580
  10.44076  10.44424     0.050     27306      9578
  10.44042  10.44390     0.050     27310      9586
  10.44008  10.44355     0.050     27315      9584
  10.43974  10.44317     0.050     27303      9581
  10.43940  10.44279     0.050     27312      9589
  10.43906  10.44242     0.050     27307      9590
  10.43872  10.44207     0.050     27297      9585
  10.43838  10.44172     0.050     27294      9587
  10.43804  10.44136     0.050     27306      9595
  10.43770  10.44099     0.050     27290      9592
  10.43736  10.44062     0.050     27289      9591
  10.43702  10.44024     0.050     27291      9596
  10.43668  10.43988     0.050     27301      9598
  10.43634  10.43954     0.050     27274      9594
  10.43600  10.43921     0.050     27286      9597
  10.43566  10.43888     0.050     27291      9601
  10.43532  10.43855     0.050     27279      9601
  10.43498  10.43822     0.050     27281      9602
  10.43464  10.43790     0.050     27296      9608
  10.43430  10.43759     0.050     27264      9603
  10.43396  10.43729     0.050     27255      9603
  10.43362  10.43701     0.050     27275      9606
  10.43328  10.43673     0.050     27284      9612
  10.43294  10.43646     0.050     27263      9607
  10.43260  10.43619     0.050     27253      9608
  10.43226  10.43590     0.050     27272      9615
  10.43192  10.43561     0.050     27260      9612
  10.43158  10.43531     0.050     27231      9606
  10.43124  10.43502     0.050     27269      9622
  10.43090  10.43472     0.050     27261      9619
  10.43056  10.43442     0.050     27236      9614
  10.43022  10.43410     0.050     27253      9620
  10.42988  10.43375     0.050     27252      9621
  10.42954  10.43338     0.050     27248      9619
  10.42920  10.43300     0.050     27243      9620
  10.42886  10.43262     0.050     27231      9623
  10.42852  10.43226     0.050     27249      9627
  10.42818  10.43191     0.050     27231      9623
  10.42784  10.43156     0.050     27217      9624
  10.42750  10.43119     0.050     27245      9633
  10.42716  10.43082     0.050     27215      9625
  10.42682  10.43044     0.050     27227      9629
  10.42648  10.43007     0.050     27236      9633
  10.42614  10.42972     0.050     27233      9636
  10.42580  10.42938     0.050     27233      9635
  10.42546  10.42905     0.050     27220      9637
  10.42512  10.42872     0.050     27235      9641
  10.42478  10.42839     0.050     27213      9636
  10.42444  10.42807     0.050     27217      9639
  10.42410  10.42774     0.050     27216      9642
  10.42376  10.42743     0.050     27208      9641
  10.42342  10.42715     0.050     27215      9643
  10.42308  10.42688     0.050     27221      9648
  10.42274  10.42661     0.050     27216      9646
  10.42240  10.42633     0.050     27212      9647
  10.42206  10.42606     0.050     27196      9647
  10.42172  10.42577     0.050     27210      9652
  10.42138  10.42547     0.050     27211      9652
  10.42104  10.42518     0.050     27192      9651
  10.42070  10.42488     0.050     27201      9656
  10.42036  10.42458     0.050     27198      9655
  10.42002  10.42428     0.050     27186      9656
  10.41968  10.42394     0.050     27203      9659
  10.41934  10.42359     0.050     27181      9657
  10.41900  10.42321     0.050     27198      9661
  10.41866  10.42283     0.050     27195      9665
  10.41832  10.42246     0.050     27186      9663
  10.41798  10.42211     0.050     27196      9666
  10.41764  10.42176     0.050     27179      9666
  10.41730  10.42140     0.050     27187      9668
  10.41696  10.42103     0.050     27186      9670
  10.41662  10.42065     0.050     27175      9667
  10.41628  10.42028     0.050     27174      9669
