  9809     KEK-PF   BL9C
 Cu002           21.02.25 09:33 - 21.02.25 09:36 Serial#KEKPF-BL9C_064743
 Cu foil after calibration
 Ring :   2.5 GeV   450.1 mA -  449.3 mA
 Mono :   Si(111)       D=  3.13551 A    Initial angle= 12.71850 deg
 BL9C      Transmission( 2)   Repetition=  1     Points=  301
 Param file : Std-XANES       energy axis(2)     Block =    1

 Block      Init-Eng  Final-Eng      Step/eV     Time/s       Num
     1        8945.30   9050.30         0.35       0.10       301
 Ortec(-1)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   496.900   538.200
  12.76910  12.76910      0.10     15324     17883
  12.76860  12.76860      0.10     15329     17890
  12.76809  12.76810      0.10     15365     17928
  12.76758  12.76760      0.10     15409     17981
  12.76707  12.76710      0.10     15430     18006
  12.76656  12.76660      0.10     15443     18021
  12.76606  12.76600      0.10     15437     18011
  12.76555  12.76560      0.10     15442     18019
  12.76504  12.76500      0.10     15422     17994
  12.76453  12.76460      0.10     15402     17970
  12.76403  12.76400      0.10     15393     17961
  12.76352  12.76360      0.10     15398     17966
  12.76301  12.76300      0.10     15390     17955
  12.76250  12.76250      0.10     15382     17946
  12.76200  12.76200      0.10     15371     17934
  12.76149  12.76150      0.10     15368     17928
  12.76098  12.76100      0.10     15352     17908
  12.76047  12.76040      0.10     15349     17907
  12.75997  12.75990      0.10     15345     17898
  12.75946  12.75950      0.10     15329     17882
  12.75895  12.75890      0.10     15315     17866
  12.75844  12.75850      0.10     15311     17861
  12.75794  12.75790      0.10     15293     17836
  12.75743  12.75750      0.10     15300     17843
  12.75692  12.75690      0.10     15279     17820
  12.75642  12.75650      0.10     15273     17808
  12.75591  12.75590      0.10     15265     17798
  12.75540  12.75540      0.10     15253     17783
  12.75489  12.75490      0.10     15242     17769
  12.75439  12.75440      0.10     15239     17765
  12.75388  12.75390      0.10     15223     17743
  12.75337  12.75340      0.10     15220     17740
  12.75287  12.75280      0.10     15208     17724
  12.75236  12.75240      0.10     15200     17713
  12.75185  12.75180      0.10     15190     17699
  12.75135  12.75140      0.10     15186     17692
  12.75084  12.75080      0.10     15175     17676
  12.75033  12.75030      0.10     15169     17668
  12.74983  12.74980      0.10     15159     17652
  12.74932  12.74940      0.10     15157     17648
  12.74881  12.74880      0.10     15145     17633
  12.74831  12.74830      0.10     15140     17623
  12.74780  12.74780      0.10     15150     17633
  12.74730  12.74730      0.10     15140     17617
  12.74679  12.74680      0.10     15137     17613
  12.74628  12.74630      0.10     15128     17596
  12.74578  12.74580      0.10     15126     17591
  12.74527  12.74530      0.10     15117     17579
  12.74476  12.74480      0.10     15115     17571
  12.74426  12.74420      0.10     15124     17577
  12.74375  12.74380      0.10     15124     17573
  12.74325  12.74320      0.10     15114     17557
  12.74274  12.74280      0.10     15116     17554
  12.74223  12.74220      0.10     15105     17536
  12.74173  12.74180      0.10     15106     17533
  12.74122  12.74120      0.10     15110     17529
  12.74072  12.74070      0.10     15100     17513
  12.74021  12.74020      0.10     15091     17494
  12.73971  12.73960      0.10     15105     17506
  12.73920  12.73920      0.10     15110     17504
  12.73869  12.73870      0.10     15087     17471
  12.73819  12.73820      0.10     15078     17453
  12.73768  12.73780      0.10     15069     17432
  12.73718  12.73720      0.10     15063     17416
  12.73667  12.73670      0.10     15067     17409
  12.73617  12.73610      0.10     15063     17391
  12.73566  12.73570      0.10     15060     17378
  12.73516  12.73510      0.10     15045     17346
  12.73465  12.73470      0.10     15034     17323
  12.73415  12.73420      0.10     15009     17278
  12.73364  12.73360      0.10     14970     17214
  12.73314  12.73310      0.10     14946     17173
  12.73263  12.73270      0.10     14918     17121
  12.73212  12.73210      0.10     14889     17065
  12.73162  12.73160      0.10     14894     17048
  12.73111  12.73120      0.10     14904     17035
  12.73061  12.73060      0.10     14924     17027
  12.73010  12.73000      0.10     14961     17037
  12.72960  12.72960      0.10     14990     17042
  12.72910  12.72910      0.10     15011     17024
  12.72859  12.72860      0.10     15022     16989
  12.72809  12.72810      0.10     15026     16939
  12.72758  12.72760      0.10     15029     16872
  12.72708  12.72710      0.10     15023     16787
  12.72657  12.72660      0.10     15024     16690
  12.72607  12.72610      0.10     15016     16556
  12.72556  12.72550      0.10     15023     16403
  12.72506  12.72510      0.10     15023     16224
  12.72455  12.72450      0.10     15033     15937
  12.72405  12.72410      0.10     15075     15644
  12.72354  12.72360      0.10     15082     15078
  12.72304  12.72300      0.10     15093     14292
  12.72254  12.72250      0.10     15108     13465
  12.72203  12.72210      0.10     15130     12564
  12.72153  12.72150      0.10     15119     11462
  12.72102  12.72100      0.10     15130     10691
  12.72052  12.72050      0.10     15130     10081
  12.72001  12.72000      0.10     15129      9651
  12.71951  12.71950      0.10     15129      9361
  12.71901  12.71900      0.10     15129      9198
  12.71850  12.71850      0.10     15134      9136
  12.71800  12.71800      0.10     15146      9147
  12.71749  12.71760      0.10     15151      9194
  12.71699  12.71700      0.10     15151      9257
  12.71649  12.71650      0.10     15148      9292
  12.71598  12.71600      0.10     15177      9299
  12.71548  12.71540      0.10     15197      9242
  12.71498  12.71500      0.10     15209      9152
  12.71447  12.71450      0.10     15209      8990
  12.71397  12.71400      0.10     15207      8803
  12.71346  12.71350      0.10     15205      8608
  12.71296  12.71300      0.10     15201      8421
  12.71246  12.71240      0.10     15202      8241
  12.71195  12.71200      0.10     15207      8103
  12.71145  12.71140      0.10     15189      7918
  12.71095  12.71100      0.10     15193      7770
  12.71044  12.71040      0.10     15173      7570
  12.70994  12.70990      0.10     15175      7393
  12.70944  12.70940      0.10     15167      7199
  12.70893  12.70890      0.10     15154      6994
  12.70843  12.70850      0.10     15148      6779
  12.70793  12.70790      0.10     15130      6496
  12.70742  12.70740      0.10     15120      6261
  12.70692  12.70700      0.10     15094      6018
  12.70642  12.70640      0.10     15063      5719
  12.70591  12.70590      0.10     15018      5473
  12.70541  12.70540      0.10     14971      5232
  12.70491  12.70500      0.10     14919      5006
  12.70441  12.70440      0.10     14884      4769
  12.70390  12.70390      0.10     14878      4599
  12.70340  12.70340      0.10     14901      4455
  12.70290  12.70290      0.10     14953      4344
  12.70239  12.70240      0.10     15014      4259
  12.70189  12.70190      0.10     15058      4200
  12.70139  12.70140      0.10     15078      4165
  12.70089  12.70090      0.10     15097      4155
  12.70038  12.70040      0.10     15101      4168
  12.69988  12.69980      0.10     15107      4204
  12.69938  12.69940      0.10     15108      4244
  12.69888  12.69890      0.10     15108      4303
  12.69837  12.69840      0.10     15115      4372
  12.69787  12.69790      0.10     15118      4444
  12.69737  12.69740      0.10     15111      4512
  12.69687  12.69690      0.10     15107      4578
  12.69637  12.69630      0.10     15105      4638
  12.69586  12.69590      0.10     15109      4683
  12.69536  12.69540      0.10     15106      4722
  12.69486  12.69480      0.10     15102      4749
  12.69436  12.69440      0.10     15107      4761
  12.69385  12.69390      0.10     15102      4756
  12.69335  12.69330      0.10     15104      4734
  12.69285  12.69290      0.10     15114      4704
  12.69235  12.69230      0.10     15103      4641
  12.69185  12.69190      0.10     15117      4588
  12.69134  12.69130      0.10     15107      4499
  12.69084  12.69090      0.10     15109      4426
  12.69034  12.69030      0.10     15104      4332
  12.68984  12.68980      0.10     15116      4262
  12.68934  12.68930      0.10     15123      4199
  12.68884  12.68890      0.10     15123      4146
  12.68833  12.68830      0.10     15120      4107
  12.68783  12.68790      0.10     15113      4092
  12.68733  12.68730      0.10     15108      4098
  12.68683  12.68690      0.10     15111      4124
  12.68633  12.68630      0.10     15101      4170
  12.68583  12.68580      0.10     15110      4226
  12.68533  12.68530      0.10     15112      4284
  12.68482  12.68490      0.10     15109      4345
  12.68432  12.68430      0.10     15108      4421
  12.68382  12.68390      0.10     15115      4482
  12.68332  12.68330      0.10     15105      4547
  12.68282  12.68280      0.10     15099      4596
  12.68232  12.68230      0.10     15097      4639
  12.68182  12.68190      0.10     15098      4684
  12.68132  12.68130      0.10     15095      4732
