key	value
@data_info@identifier@pid	KEKPF-BL9C_64743
@data_info@identifier@proposal_number	2021X000
@data_info@date@create_time	2021-02-25 09:36:11
@data_info@facility	Photon Factory
@data_info@class_name	BL-9C
@data_info@title	N/A
@data_info@title_ja	N/A
@data_info@license@name	CC BY-NC-SA
@data_info@version@data_format	PF9809-MDR-20220401
@data_info@data_origin	experiment
@data_info@data_depositor@name	Ken Motokura
@data_info@data_depositor@affiliation@organization	TIT
@data_info@data_depositor@affiliation@sub_organization	
@data_info@contact_name@name	Photon Factory
@data_info@contact_name@organization	KEK
@data_info@contact_name@sub_organization	Institute of Materials Structure Science
@data_info@contact_name@role	organization
@facility@ring@energy	2.5
@facility@ring@energy_unit	GeV
@facility@ring@start_current	450.075
@facility@ring@start_current_unit	mA
@facility@ring@end_current	449.278
@facility@ring@end_current_unit	mA
@sample_0@name	Copper
@sample_0@chemical_formula	Cu
@sample_0@additional_data	foil
@measurement@method@name	XAFS
@measurement@method@detection	Transmission
@measurement@method@absorption_edge	Cu K
@measurement@date@start_time	2021-02-25 09:33:11
@measurement@date@end_time	2021-02-25 09:36:02
@measurement@scan_mode	Step Scan
@instrument@monochrometor@number	2
@instrument@monochrometor@net_plane	Si(111)
@instrument@monochrometor@distance	3.13551
@instrument@monochrometor@distance_unit	A
@instrument@section_0@start_energy	12.7185
@instrument@section_0@start_energy_unit	deg
@instrument@section_0@step_energy	12.7185
@instrument@section_0@step_energy_unit	deg
@instrument@section_0@end_energy	12.7185
@instrument@section_0@end_energy_unit	deg
@instrument@section_0@dwell_time	1.0
@instrument@section_0@dwell_time_unit	sec
@instrument@xafs@I0@element_0@type	Ionization Chamber
@instrument@xafs@I0@element_number	1
@instrument@xafs@I1@element_0@type	Ionization Chamber
@instrument@xafs@I1@element_number	1
@local@xafs_filename_list_0	Cu002.dat
@local@xafs_filename_list_1	metadata.yml
@local@xafs_filename_list_2	thumbnail.png
