   9809     AichiSR  BL5S1
 200911-Y2O3-1   20.09.11 09:12 - 20.09.11 09:13
                                                                                 
 Ring :   1.2 GeV   301.8 mA -  301.4 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle=  6.67855 deg
 BL5S1    Transmission ( 2)   Repetition=  1     Points= 3783
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1       16740.16  18140.16        0.37       0.01      3785
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  5552.300  9521.500  8214.200
   6.78256   6.78275    0.0143  22233448  10682679  49526686
   6.78242   6.78262    0.0143  22233448  10682679  49526686
   6.78228   6.78248    0.0143  22165448  10649379  49366486
   6.78214   6.78235    0.0143  22165648  10646979  49372986
   6.78200   6.78222    0.0143  22119548  10624179  49262586
   6.78186   6.78209    0.0143  22090548  10615379  49216586
   6.78172   6.78196    0.0143  22053948  10597679  49135786
   6.78158   6.78183    0.0143  22018548  10579979  49062186
   6.78144   6.78170    0.0143  22000848  10570179  49021986
   6.78131   6.78157    0.0143  21971048  10556179  48965786
   6.78117   6.78144    0.0143  21964948  10555579  48935886
   6.78103   6.78130    0.0143  21917648  10531379  48842886
   6.78089   6.78116    0.0143  21895348  10523179  48816286
   6.78075   6.78103    0.0143  21867848  10510079  48746986
   6.78061   6.78089    0.0143  21841148  10496479  48699786
   6.78047   6.78075    0.0143  21831648  10490979  48676886
   6.78033   6.78060    0.0143  21782548  10471179  48574486
   6.78019   6.78046    0.0143  21809748  10481979  48617086
   6.78006   6.78032    0.0143  21727548  10446579  48457186
   6.77992   6.78017    0.0143  21731448  10446679  48479586
   6.77978   6.78003    0.0143  21699348  10429279  48399986
   6.77964   6.77989    0.0143  21685448  10424079  48358586
   6.77950   6.77974    0.0143  21659148  10411379  48312886
   6.77936   6.77960    0.0143  21648848  10404679  48284186
   6.77922   6.77946    0.0143  21631348  10401579  48259886
   6.77908   6.77932    0.0143  21580648  10373379  48143986
   6.77894   6.77917    0.0143  21584448  10378179  48166886
   6.77881   6.77904    0.0143  21570948  10367179  48109086
   6.77867   6.77890    0.0143  21562248  10368079  48107386
   6.77853   6.77876    0.0143  21552548  10362979  48108986
   6.77839   6.77863    0.0143  21542448  10359079  48082986
   6.77825   6.77849    0.0143  21546848  10360679  48091086
   6.77811   6.77836    0.0143  21520148  10346279  48040186
   6.77797   6.77822    0.0143  21562048  10368179  48138386
   6.77783   6.77809    0.0143  21539748  10360179  48090886
   6.77769   6.77796    0.0143  21556248  10366179  48133086
   6.77756   6.77782    0.0143  21523948  10353479  48067686
   6.77742   6.77769    0.0143  21534348  10357879  48088586
   6.77728   6.77756    0.0143  21512748  10349879  48062086
   6.77714   6.77742    0.0143  21522048  10353479  48080186
   6.77700   6.77729    0.0143  21544648  10363279  48120386
   6.77686   6.77715    0.0143  21526548  10353379  48093986
   6.77672   6.77702    0.0143  21530948  10354779  48090986
   6.77658   6.77688    0.0143  21505848  10344279  48071686
   6.77644   6.77674    0.0143  21515248  10352779  48076486
   6.77631   6.77660    0.0143  21503348  10345879  48059286
   6.77617   6.77646    0.0143  21510148  10351379  48088786
   6.77603   6.77633    0.0143  21539148  10363479  48140986
   6.77589   6.77619    0.0143  21492748  10342479  48062086
   6.77575   6.77604    0.0143  21527948  10355079  48110586
   6.77561   6.77590    0.0143  21490848  10340879  48047886
   6.77547   6.77576    0.0143  21523948  10360479  48130386
   6.77533   6.77561    0.0143  21499448  10345779  48075486
   6.77519   6.77547    0.0143  21516248  10357979  48120986
   6.77506   6.77532    0.0143  21514948  10357279  48138686
   6.77492   6.77518    0.0143  21504148  10353079  48108686
   6.77478   6.77503    0.0143  21521148  10357279  48152286
   6.77464   6.77489    0.0143  21511348  10355779  48117286
   6.77450   6.77474    0.0143  21527348  10364279  48175286
   6.77436   6.77459    0.0143  21497048  10349179  48111586
   6.77422   6.77444    0.0143  21527948  10363479  48170686
   6.77408   6.77430    0.0143  21531748  10363179  48175286
   6.77394   6.77415    0.0143  21514148  10358779  48161086
   6.77381   6.77401    0.0143  21545848  10373079  48227186
   6.77367   6.77386    0.0143  21527748  10366479  48193786
   6.77353   6.77373    0.0143  21550948  10376279  48240986
   6.77339   6.77359    0.0143  21525048  10360179  48165686
   6.77325   6.77344    0.0143  21553148  10380479  48276486
   6.77311   6.77331    0.0143  21542648  10372179  48240686
   6.77297   6.77317    0.0143  21551348  10380579  48261886
   6.77283   6.77303    0.0143  21557848  10381479  48277586
   6.77269   6.77290    0.0143  21552948  10381479  48265286
   6.77256   6.77277    0.0143  21556048  10382379  48291486
   6.77242   6.77264    0.0143  21553548  10383279  48289586
   6.77228   6.77250    0.0143  21590748  10398679  48363386
   6.77214   6.77237    0.0143  21566348  10388479  48316986
   6.77200   6.77224    0.0143  21562148  10390779  48322686
   6.77186   6.77211    0.0143  21575848  10389479  48350886
   6.77172   6.77198    0.0143  21557348  10387379  48323386
   6.77158   6.77185    0.0143  21578048  10395479  48359286
   6.77144   6.77172    0.0143  21559148  10388079  48334186
   6.77131   6.77158    0.0143  21602348  10405479  48417886
   6.77117   6.77145    0.0143  21552648  10385079  48310886
   6.77103   6.77132    0.0143  21572848  10393679  48349986
   6.77089   6.77119    0.0143  21552248  10383279  48328486
   6.77075   6.77105    0.0143  21561048  10391079  48351186
   6.77061   6.77091    0.0143  21570648  10390579  48363286
   6.77047   6.77077    0.0143  21567748  10393779  48373686
   6.77033   6.77063    0.0143  21596648  10406179  48444386
   6.77019   6.77048    0.0143  21562148  10389179  48362186
   6.77006   6.77034    0.0143  21572848  10399179  48402386
   6.76992   6.77020    0.0143  21580748  10401579  48411786
   6.76978   6.77005    0.0143  21588148  10407579  48445286
   6.76964   6.76991    0.0143  21621148  10418779  48494986
   6.76950   6.76977    0.0143  21641648  10429079  48554686
   6.76936   6.76962    0.0143  21673048  10445879  48637586
   6.76922   6.76948    0.0143  21645648  10436179  48597586
   6.76908   6.76934    0.0143  21692348  10458979  48708686
   6.76894   6.76920    0.0143  21699948  10461979  48704586
   6.76881   6.76906    0.0143  21742048  10479879  48790286
   6.76867   6.76892    0.0143  21739548  10479979  48801986
   6.76853   6.76879    0.0143  21770748  10492279  48863286
   6.76839   6.76865    0.0143  21759248  10490879  48854686
   6.76825   6.76852    0.0143  21749348  10488779  48848386
   6.76811   6.76838    0.0143  21797148  10510279  48944486
   6.76797   6.76825    0.0143  21808848  10513879  48972586
   6.76783   6.76812    0.0143  21825748  10528279  49038886
   6.76769   6.76798    0.0143  21823048  10521279  49013686
   6.76756   6.76785    0.0143  21826848  10528579  49041686
   6.76742   6.76772    0.0143  21834848  10529279  49063386
   6.76728   6.76758    0.0143  21859148  10541279  49115086
   6.76714   6.76745    0.0143  21902448  10559479  49206086
   6.76700   6.76732    0.0143  21866648  10548079  49146486
   6.76686   6.76718    0.0143  21896748  10557579  49206686
   6.76672   6.76704    0.0143  21867748  10549179  49161486
   6.76658   6.76690    0.0143  21922048  10574179  49262786
   6.76644   6.76677    0.0143  21909348  10566879  49253386
   6.76631   6.76663    0.0143  21933048  10580379  49317586
   6.76617   6.76649    0.0143  21943448  10583479  49321086
   6.76603   6.76635    0.0143  21918948  10572979  49290686
   6.76589   6.76621    0.0143  21933748  10586379  49339286
   6.76575   6.76607    0.0143  21942148  10586379  49361386
   6.76561   6.76593    0.0143  21982748  10605879  49444486
   6.76547   6.76578    0.0143  21956848  10595679  49395086
   6.76533   6.76564    0.0143  21967348  10598579  49412486
   6.76519   6.76550    0.0143  21972748  10600079  49421886
   6.76506   6.76535    0.0143  21960848  10597679  49416386
   6.76492   6.76520    0.0143  22013948  10620779  49520586
   6.76478   6.76506    0.0143  22008948  10617979  49513886
   6.76464   6.76491    0.0143  22016948  10626079  49555986
   6.76450   6.76476    0.0143  21976548  10608179  49458086
   6.76436   6.76461    0.0143  22009548  10622479  49540086
   6.76422   6.76446    0.0143  22009648  10625979  49548286
   6.76408   6.76432    0.0143  22044948  10638179  49613186
   6.76394   6.76417    0.0143  22049748  10641879  49628086
   6.76381   6.76402    0.0143  22034348  10633979  49594786
   6.76367   6.76388    0.0143  22013148  10627079  49565186
   6.76353   6.76374    0.0143  22008448  10625379  49559786
   6.76339   6.76359    0.0143  22064448  10647779  49672786
   6.76325   6.76345    0.0143  22055348  10648379  49682986
   6.76311   6.76331    0.0143  22058348  10649179  49691686
   6.76297   6.76318    0.0143  22038348  10639679  49635686
   6.76283   6.76304    0.0143  22025348  10633679  49626486
   6.76269   6.76290    0.0143  22023148  10632179  49600786
   6.76256   6.76277    0.0143  22016948  10632779  49626486
   6.76242   6.76263    0.0143  22067048  10655979  49728986
   6.76228   6.76250    0.0143  22013248  10633879  49635086
   6.76214   6.76237    0.0143  22020648  10633879  49633086
   6.76200   6.76223    0.0143  21984848  10618579  49566986
   6.76186   6.76210    0.0143  22007048  10629079  49611286
   6.76172   6.76197    0.0143  22014248  10635379  49645886
   6.76158   6.76184    0.0143  22029148  10638579  49653386
   6.76144   6.76171    0.0143  22030748  10640579  49670686
   6.76131   6.76157    0.0143  21979148  10616979  49563286
   6.76117   6.76144    0.0143  21999148  10626679  49614586
   6.76103   6.76130    0.0143  22017848  10633379  49647086
   6.76089   6.76117    0.0143  22048348  10649979  49728386
   6.76075   6.76103    0.0143  22064148  10657179  49769286
   6.76061   6.76089    0.0143  22056548  10655279  49756886
   6.76047   6.76075    0.0143  22064848  10659079  49771386
   6.76033   6.76061    0.0143  22052248  10652579  49753186
   6.76019   6.76046    0.0143  22108448  10682179  49885286
   6.76006   6.76032    0.0143  22120248  10683979  49903686
   6.75992   6.76017    0.0143  22128048  10694379  49948286
   6.75978   6.76003    0.0143  22102448  10682079  49899086
   6.75964   6.75988    0.0143  22111648  10685379  49904986
   6.75950   6.75974    0.0143  22116448  10686179  49932986
   6.75936   6.75959    0.0143  22127548  10690879  49949886
   6.75922   6.75945    0.0143  22170248  10712179  50043586
   6.75908   6.75931    0.0143  22143148  10702279  50001386
   6.75894   6.75917    0.0143  22144848  10701279  49989786
   6.75881   6.75903    0.0143  22119148  10689279  49940886
   6.75867   6.75890    0.0143  22148248  10704379  50010286
   6.75853   6.75876    0.0143  22153248  10706679  50029986
   6.75839   6.75862    0.0143  22159548  10710979  50040786
   6.75825   6.75848    0.0143  22174548  10718679  50094786
   6.75811   6.75835    0.0143  22133448  10698879  49998386
   6.75797   6.75821    0.0143  22152848  10706379  50039386
   6.75783   6.75808    0.0143  22128548  10698979  50002186
   6.75769   6.75795    0.0143  22162448  10714579  50091686
   6.75756   6.75781    0.0143  22144348  10707279  50052186
   6.75742   6.75768    0.0143  22149748  10711379  50060286
   6.75728   6.75755    0.0143  22139448  10703579  50048386
   6.75714   6.75741    0.0143  22118748  10696179  50013086
   6.75700   6.75727    0.0143  22139448  10706079  50057186
   6.75686   6.75714    0.0143  22140748  10706579  50056786
   6.75672   6.75700    0.0143  22155648  10714079  50102186
   6.75658   6.75686    0.0143  22123248  10696779  50019786
   6.75644   6.75672    0.0143  22122048  10699579  50029486
   6.75631   6.75658    0.0143  22123848  10698479  50028286
   6.75617   6.75644    0.0143  22109248  10694479  50011486
   6.75603   6.75630    0.0143  22145748  10708279  50075286
   6.75589   6.75616    0.0143  22118248  10696979  50029286
   6.75575   6.75602    0.0143  22124448  10703179  50064286
   6.75561   6.75587    0.0143  22093748  10686079  49988486
   6.75547   6.75573    0.0143  22132448  10704279  50076686
   6.75533   6.75559    0.0143  22123448  10700879  50064886
   6.75519   6.75544    0.0143  22121848  10702479  50062486
   6.75506   6.75529    0.0143  22113748  10698379  50063586
   6.75492   6.75515    0.0143  22110948  10698879  50053486
