  9809     SAGA-LS   BL11
 20190219_09_K2  19.02.19 18:47 - 19.02.19 19:16
 S-K ROI 215-255ch, CEY 400V
 Ring :   1.4 GeV   204.1 mA -  193.0 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 53.80180 deg
 BL11      Transmission( 2)   Repetition=  1     Points=475
 Param file : --              energy axis(2)     Block =    3

 Block      Init-Eng  final-Eng      Step/eV     Time/s       Num
     1        2440.00   2442.00         0.50       3.00         4
     2        2442.00   2532.96         0.20       3.00       450
     3        2532.96   2540.00         0.35       3.00        21
 CAMAC( 1)     NDCH = 9
  Angle(c)  Angle(o)    time/s         1         2         3         1         2         3         1         2         3
      Mode         0         0         3         1         4       103       101       104         5         5         5
    Offset         0         0     0.000191361.400230259.300     0.000     0.000     0.000     0.000     0.000     0.000
  54.12391  54.12400      3.00       696   8757037  13533747      2289         0         0   2997502         0         0
  54.10768  54.10790      3.00       708   8811513  13596347      2173         0         0   2998170         0         0
  54.09147  54.09170      3.00       704   8902688  13735548      2297         0         0   2997650         0         0
  54.07527  54.07550      3.00       724   8940686  13786518      2333         0         0   2997966         0         0
  54.05908  54.05930      3.00       743   8939981  13789910      2290         0         0   2997445         0         0
  54.05254  54.05280      3.00       748   8949057  13801577      2276         0         0   2997663         0         0
  54.04600  54.04620      3.00       759   8990065  13844426      2331         0         0   2998011         0         0
  54.03946  54.03970      3.00       768   9016829  13893914      2402         0         0   2997662         0         0
  54.03293  54.03320      3.00       764   9024695  13900066      2366         0         0   2997584         0         0
  54.02640  54.02660      3.00       727   9046442  13943756      2292         0         0   2997439         0         0
  54.01987  54.02020      3.00       795   9036727  13917960      2361         0         0   2997928         0         0
  54.01334  54.01360      3.00       785   9033012  13924788      2336         0         0   2997929         0         0
  54.00681  54.00700      3.00       804   9016785  13905291      2437         0         0   2997663         0         0
  54.00029  54.00060      3.00       765   8967837  13853883      2404         0         0   3001694         0         0
  53.99377  53.99440      3.00       762   8975807  13850068      2348         0         0   3001646         0         0
  53.98725  53.98750      3.00       775   8950899  13823454      2395         0         0   2997482         0         0
  53.98073  53.98100      3.00       799   8967444  13835477      2309         0         0   2998213         0         0
  53.97422  53.97450      3.00       792   8958539  13824899      2287         0         0   2997478         0         0
  53.96770  53.96790      3.00       790   8965948  13834860      2407         0         0   3001683         0         0
  53.96119  53.96150      3.00       849   8963870  13847319      2434         0         0   2997484         0         0
  53.95468  53.95490      3.00       842   8972759  13865003      2439         0         0   2998177         0         0
  53.94817  53.94840      3.00       796   8988411  13866421      2404         0         0   2997510         0         0
  53.94167  53.94200      3.00       808   8996225  13882446      2340         0         0   2997650         0         0
  53.93517  53.93540      3.00       848   9006560  13889439      2476         0         0   2997646         0         0
  53.92867  53.92890      3.00       880   9003548  13906192      2517         0         0   2997440         0         0
  53.92217  53.92240      3.00       837   9014748  13919126      2410         0         0   2997493         0         0
  53.91567  53.91590      3.00       780   9013365  13915474      2368         0         0   2997731         0         0
  53.90918  53.90940      3.00       791   9040562  13961547      2375         0         0   2997518         0         0
  53.90268  53.90290      3.00       886   9039459  13952358      2522         0         0   2998211         0         0
  53.89619  53.89640      3.00       840   9062144  13990447      2403         0         0   2998124         0         0
  53.88970  53.89000      3.00       886   9047183  13974298      2538         0         0   2997982         0         0
  53.88322  53.88350      3.00       927   9023248  13937829      2500         0         0   2997612         0         0
  53.87673  53.87690      3.00       888   9020183  13938012      2509         0         0   2997414         0         0
  53.87025  53.87050      3.00       863   9038642  13952460      2388         0         0   2997626         0         0
  53.86377  53.86400      3.00       923   9021995  13939149      2466         0         0   2997430         0         0
  53.85729  53.85750      3.00       944   9020177  13938811      2539         0         0   2997470         0         0
  53.85082  53.85110      3.00       935   9059258  13982117      2498         0         0   2997436         0         0
  53.84434  53.84450      3.00       873   9090454  14037853      2445         0         0   2997869         0         0
  53.83787  53.83810      3.00       869   9068341  14011335      2421         0         0   3001690         0         0
  53.83140  53.83170      3.00       866   9017699  13936698      2425         0         0   2997674         0         0
  53.82494  53.82520      3.00       886   8990809  13887097      2483         0         0   2997459         0         0
  53.81847  53.81870      3.00       928   9000148  13908781      2502         0         0   2997684         0         0
  53.81201  53.81230      3.00       945   8985626  13896487      2465         0         0   2997491         0         0
  53.80555  53.80580      3.00       938   9000903  13913621      2547         0         0   2997479         0         0
  53.79909  53.79940      3.00       884   9010808  13940698      2387         0         0   2997676         0         0
  53.79263  53.79290      3.00       967   9016560  13953077      2543         0         0   2997496         0         0
  53.78617  53.78640      3.00       982   9022741  13969158      2567         0         0   2997654         0         0
  53.77972  53.78000      3.00       981   9014705  13954173      2536         0         0   2997690         0         0
  53.77327  53.77360      3.00      1024   9026002  13968789      2593         0         0   2997683         0         0
  53.76682  53.76710      3.00       976   9015462  13945526      2575         0         0   2997458         0         0
  53.76037  53.76070      3.00      1012   9024282  13954509      2568         0         0   2997630         0         0
  53.75393  53.75420      3.00      1007   9024113  13964714      2573         0         0   2997482         0         0
  53.74749  53.74780      3.00       936   9024101  13963165      2520         0         0   2997380         0         0
  53.74104  53.74140      3.00       964   9024598  13976652      2518         0         0   2997462         0         0
  53.73461  53.73490      3.00      1012   9025568  13965791      2571         0         0   2997628         0         0
  53.72817  53.72850      3.00      1008   9016567  13955590      2588         0         0   2997408         0         0
  53.72173  53.72210      3.00      1003   8977944  13917642      2561         0         0   2997535         0         0
  53.71530  53.71560      3.00      1107   8968827  13895297      2649         0         0   2997574         0         0
  53.70887  53.70920      3.00      1106   8962928  13894458      2635         0         0   2998258         0         0
  53.70244  53.70280      3.00      1164   8956369  13885630      2748         0         0   2997498         0         0
  53.69602  53.69630      3.00      1190   8953635  13875926      2762         0         0   2997648         0         0
  53.68959  53.68990      3.00      1210   8951430  13883839      2811         0         0   2997540         0         0
  53.68317  53.68350      3.00      1261   8973744  13902971      2834         0         0   2997524         0         0
  53.67675  53.67700      3.00      1221   8981655  13928161      2833         0         0   2998259         0         0
  53.67033  53.67070      3.00      1148   9009137  13954649      2693         0         0   2997757         0         0
  53.66391  53.66430      3.00      1174   9036666  13995316      2769         0         0   2997528         0         0
  53.65750  53.65780      3.00      1097   9064212  14032737      2612         0         0   2997699         0         0
  53.65109  53.65150      3.00      1162   9041428  14018256      2693         0         0   2997444         0         0
  53.64468  53.64500      3.00      1088   9037952  14009945      2626         0         0   2997460         0         0
  53.63827  53.63870      3.00      1119   9046444  14012607      2677         0         0   2998017         0         0
  53.63186  53.63230      3.00      1073   9057528  14038085      2626         0         0   2997698         0         0
  53.62546  53.62580      3.00      1070   9042609  14015275      2567         0         0   2997621         0         0
  53.61906  53.61940      3.00      1119   9026445  13986970      2666         0         0   2997662         0         0
  53.61266  53.61310      3.00      1077   9000787  13960291      2593         0         0   2997452         0         0
  53.60626  53.60660      3.00      1157   9040166  14012223      2621         0         0   2998440         0         0
  53.59986  53.60030      3.00      1180   9055909  14052929      2762         0         0   2998178         0         0
  53.59347  53.59380      3.00      1223   9095181  14100532      2737         0         0   2998455         0         0
  53.58708  53.58750      3.00      1190   9131387  14144710      2694         0         0   2997642         0         0
  53.58069  53.58120      3.00      1183   9138231  14152696      2676         0         0   2998048         0         0
  53.57430  53.57470      3.00      1185   9152204  14196571      2687         0         0   2997660         0         0
  53.56791  53.56830      3.00      1276   9173061  14212899      2918         0         0   2998230         0         0
  53.56153  53.56200      3.00      1219   9137845  14165170      2812         0         0   2997925         0         0
  53.55515  53.55560      3.00      1198   9081655  14093477      2655         0         0   2997742         0         0
  53.54877  53.54930      3.00      1288   9019171  14007792      2754         0         0   2997972         0         0
  53.54239  53.54290      3.00      1198   8966492  13941112      2650         0         0   2997979         0         0
  53.53601  53.53640      3.00      1285   8965577  13939395      2748         0         0   2997564         0         0
  53.52964  53.53010      3.00      1298   8984013  13952602      2758         0         0   3001674         0         0
  53.52327  53.52370      3.00      1268   9009209  13992203      2762         0         0   2997662         0         0
  53.51690  53.51730      3.00      1327   9014345  13999822      2805         0         0   2997525         0         0
