key	value
@data_info@data_depositor@organization	Kyushu Synchrotron Light Research Center
@data_info@data_depositor@affiliation	Beamline Group
@data_info@data_depositor@name	Kyushu Synchrotron Light Research Center
@data_info@data_depositor@role	Beamline staff
@data_info@contact_name@organization	Kyushu Synchrotron Light Research Center
@data_info@contact_name@affiliation	Beamline Group
@data_info@contact_name@name	Kyushu Synchrotron Light Research Center
@data_info@contact_name@role	Beamline staff
@data_info@access_rights	open
@data_info@license	CC-BY-NC-SA
@data_info@deposite_time@create_time	2019-2-19
@data_info@deposite_time@update_time	2019-2-19
@data_info@title	XAFS spectra of K2SO4
@data_info@title_ja	K2SO4のXAFSスペクトル
@data_info@metadata_format@version	XAFS.20230203
@data_info@metadata_format@schema_uri	https://raw.githubusercontent.com/xafs-db/xafs-schema/main/draft/20230203/xafs-schema.json
@data_info@measurement_methods_0@category	spectroscopy
@data_info@measurement_methods_0@sub_category	XAFS
@facility@name	SAGA-LS
@facility@ring@energy	1.4
@facility@ring@energy_unit	GeV
@facility@ring@filling_pattern	100 bunchs with 26 blank bunchs
@facility@light_source@type	BM
@facility@light_source@polarization	Holizontal
@facility@beamline	BL11
@files_0@file_0@name	K2SO4_S-K
@files_0@description	experimental
@files_0@extension	dat
@files_0@format	9809
@files_0@headerlines	16
@files_0@columns_0@name	Angle(c)
@files_0@columns_0@unit	deg
@files_0@columns_0@type	raw
@files_0@columns_0@additional_data	Uncalibrated
@files_0@columns_1@name	Angle(o)
@files_0@columns_1@unit	deg
@files_0@columns_1@type	raw
@files_0@columns_1@additional_data	Uncalibrated
@files_0@columns_2@name	time/s
@files_0@columns_2@unit	sec
@files_0@columns_2@type	raw
@files_0@columns_2@additional_data	Uncalibrated
@files_0@columns_3@name	fluorescense (ROI)
@files_0@columns_3@type	processed
@files_0@columns_3@detection	Fluorescence intensity screened by ROI
@files_0@columns_4@name	I0
@files_0@columns_4@type	raw
@files_0@columns_4@detection	I0
@files_0@columns_5@name	CEY
@files_0@columns_5@type	raw
@files_0@columns_5@detection	Conversion electron
@files_0@columns_6@name	ICR
@files_0@columns_6@type	raw
@files_0@columns_6@detection	Fluorescence intensity
@files_1@file_0@name	K2SO4_S-K
@files_1@description	experimental
@files_1@extension	cey
@files_1@headerlines	1
@files_1@columns_0@name	E
@files_1@columns_0@unit	eV
@files_1@columns_0@type	processed
@files_1@columns_0@detection	photon energy
@files_1@columns_0@additional_data	Uncalibrated
@files_1@columns_1@name	Intensity I/I0
@files_1@columns_1@type	processed
@files_1@columns_1@detection	Conversion electron
@files_2@file_0@name	K2SO4_S-K
@files_2@description	experimental
@files_2@extension	pfy
@files_2@headerlines	1
@files_2@columns_0@name	E
@files_2@columns_0@unit	eV
@files_2@columns_0@type	processed
@files_2@columns_0@detection	photon energy
@files_2@columns_0@additional_data	Uncalibrated
@files_2@columns_1@name	Intensity I/I0
@files_2@columns_1@type	processed
@files_2@columns_1@detection	fluorescense (ROI)
@files_3@file_0@name	K2SO4_cey.Thumb
@files_3@description	thumbnail for conversion electron detection
@files_3@extension	png
@files_3@format	image/png
@files_4@file_0@name	K2SO4_pfy.Thumb
@files_4@description	thumbnail for fluorescense detection
@files_4@extension	png
@files_4@format	image/png
@instrument@monochromator@name	DCM
@instrument@monochromator@type	DCM
@instrument@monochromator@detail@crystal_material	Si
@instrument@monochromator@detail@crystal_plane	(111)
@instrument@monochromator@detail@crystal_d	3.13551
@instrument@monochromator@detail@crystal_d_unit	A
@measurement@edges_0@element	S
@measurement@edges_0@edge	K-edge
@measurement@measured_time@start_time	67620
@measurement@measured_time@end_time	69360
@sample@chemical_formula	K2SO4
@sample@name	potassium sulfate
@sample@condition@additional_data	on carbon tape
